"partner_id","organization_name","email","status","no_of_messages"
"1002","Dynamic Enterprises","user8c12031f@dynamicenterprises.com","active","9453"
"1002","Dynamic Enterprises","user38322954@dynamicenterprises.com","active","3962"
"1002","Premier Enterprises","userfba7cc6f@premierenterprises.com","active","240"
"1002","Modern Industries","userb0cf540d@modernindustries.com","active","9289"
"1002","Premier Services","user291989db@premierservices.com","active","1503"
"1002","Dynamic Services","usercff61b46@dynamicservices.com","active","1208"
"1002","Premier Enterprises","user5d4ab7a5@premierenterprises.com","active","5066"
"1002","Modern Services","user2d2d7aac@modernservices.com","active","3647"
"1002","Global Industries","usera350e10f@globalindustries.com","active","7580"
"1002","Advanced Services","usera6320b0b@advancedservices.com","active","2041"
"1002","Modern Services","user7af614ef@modernservices.com","active","8166"
"1002","Dynamic Solutions","usered9f18c5@dynamicsolutions.com","active","3622"
"1002","Modern Enterprises","user1b01c8d2@modernenterprises.com","active","9473"
"1002","Premier Industries","usere3efc62b@premierindustries.com","active","7878"
"1002","Modern Enterprises","user245cbe24@modernenterprises.com","active","7185"
"1002","Global Enterprises","user7b20e96d@globalenterprises.com","active","5618"
"1002","Integrated Industries","user9c436dcb@integratedindustries.com","active","9219"
"1002","Premier Industries","usera64d0dea@premierindustries.com","active","6212"
"1002","Dynamic Solutions","user24d542bd@dynamicsolutions.com","active","6311"
"1002","Premier Enterprises","userc295bdbf@premierenterprises.com","active","9743"
"1002","Integrated Enterprises","userb70529c1@integratedenterprises.com","active","7495"
"1002","Dynamic Industries","userde82f82e@dynamicindustries.com","active","4373"
"1002","Integrated Services","userd7a4964d@integratedservices.com","active","8910"
"1002","Dynamic Corporation","userd5ca6c86@dynamiccorporation.com","active","1318"
"1002","Modern Solutions","user4b2de79a@modernsolutions.com","active","4925"
"1002","Integrated Solutions","user620df3aa@integratedsolutions.com","active","8461"
"1002","Global Enterprises","user834178e4@globalenterprises.com","active","8347"
"1002","Global Industries","userb41f0aae@globalindustries.com","active","1661"
"1002","Premier Solutions","user926bb18e@premiersolutions.com","active","7933"
"1002","Integrated Enterprises","user8132c1cb@integratedenterprises.com","active","6159"
"1002","Modern Technologies","user8d370bfc@moderntechnologies.com","active","7322"
"1002","Integrated Enterprises","user1195fc69@integratedenterprises.com","active","5138"
"1002","Integrated Corporation","user4a54d3c1@integratedcorporation.com","active","8724"
"1002","Dynamic Enterprises","user30ff25d9@dynamicenterprises.com","active","7198"
"1002","Advanced Technologies","usereb4b14fa@advancedtechnologies.com","active","2977"
"1002","Global Industries","user40345770@globalindustries.com","active","4194"
"1002","Modern Services","userab3b015d@modernservices.com","active","9883"
"1002","Dynamic Corporation","user6034a86e@dynamiccorporation.com","active","9041"
"1002","Integrated Solutions","user622601ba@integratedsolutions.com","active","2819"
"1002","Modern Industries","user0efa63c0@modernindustries.com","active","6825"
"1002","Global Industries","user62fe74f8@globalindustries.com","active","2784"
"1002","Advanced Corporation","user0b593e51@advancedcorporation.com","active","3646"
"1002","Global Corporation","userdaaa5795@globalcorporation.com","active","588"
"1002","Dynamic Industries","user88009326@dynamicindustries.com","active","1404"
"1002","Dynamic Corporation","user53fc21b4@dynamiccorporation.com","active","9627"
"1002","Dynamic Industries","useracc28726@dynamicindustries.com","active","7842"
"1002","Integrated Industries","user20d1d098@integratedindustries.com","active","2968"
"1002","Premier Technologies","userf451766d@premiertechnologies.com","active","8814"
"1002","Dynamic Enterprises","user37434708@dynamicenterprises.com","active","712"
"1002","Dynamic Industries","user49535e4a@dynamicindustries.com","active","9524"
"1002","Premier Technologies","user289cd584@premiertechnologies.com","active","4425"
